Force ;Length;Time;Position;Small Length
39.210960;0.2250081;4.46;0.2250081;0.01892787
39.300290;0.2260737;4.48;0.2260737;0.01892805
39.417100;0.2272059;4.5;0.2272059;0.01892821
39.506420;0.2283381;4.52;0.2283381;0.01892837
39.575130;0.2295702;4.54;0.2295702;0.01892852
39.650710;0.2309022;4.56;0.2309022;0.01892865
39.756070;0.2322342;4.58;0.2322342;0.01892876
39.872880;0.2335662;4.6;0.2335662;0.01892886
39.978240;0.2348982;4.62;0.2348982;0.01892896
40.095040;0.2362302;4.64;0.2362302;0.01892907
40.351570;0.2375955;4.66;0.2375955;0.01892916
40.422570;0.2389275;4.68;0.2389275;0.01892926
40.557700;0.2402928;4.7;0.2402928;0.01892937
40.676800;0.2416248;4.72;0.2416248;0.01892948
40.807340;0.2430234;4.74;0.2430234;0.0189296
41.052410;0.2443554;4.76;0.2443554;0.01892973
41.114250;0.2456874;4.78;0.2456874;0.01892987
41.221900;0.2470527;4.8;0.2470527;0.01892999
41.306640;0.2482515;4.82;0.2482515;0.01893013
41.409710;0.2494503;4.84;0.2494503;0.01893025
41.515070;0.2506491;4.86;0.2506491;0.01893038
41.581490;0.2518812;4.88;0.2518812;0.01893052
41.625000;0.2530467;4.9;0.2530467;0.01893065
41.619280;0.2541789;4.92;0.2541789;0.01893078
41.712040;0.2552445;4.94;0.2552445;0.0189309
41.792200;0.2563101;4.96;0.2563101;0.01893102
41.847170;0.2573091;4.98;0.2573091;0.01893114
41.826550;0.2582415;5;0.2582415;0.01893127
41.855190;0.2591739;5.02;0.2591739;0.01893139
41.868930;0.2601063;5.04;0.2601063;0.01893149
41.854040;0.2610054;5.06;0.2610054;0.01893158
41.836860;0.2619378;5.08;0.2619378;0.01893168
41.845450;0.2628036;5.1;0.2628036;0.01893178
41.810520;0.2636361;5.12;0.2636361;0.01893189
41.809380;0.2644353;5.14;0.2644353;0.018932
41.800220;0.2651679;5.16;0.2651679;0.01893209
41.770440;0.2659338;5.18;0.2659338;0.01893219
41.670810;0.266733;5.2;0.266733;0.0189323
41.629590;0.2675322;5.22;0.2675322;0.01893242
41.639890;0.2683647;5.24;0.2683647;0.01893255
41.600950;0.2691972;5.26;0.2691972;0.01893269
41.579200;0.2699964;5.28;0.2699964;0.01893282
41.556290;0.2707956;5.3;0.2707956;0.01893296
41.539120;0.2716281;5.32;0.2716281;0.0189331
41.531100;0.2724273;5.34;0.2724273;0.01893324
41.518510;0.2731932;5.36;0.2731932;0.01893338
41.538540;0.2739258;5.38;0.2739258;0.01893351
41.533960;0.2745918;5.4;0.2745918;0.01893363
41.524800;0.2752578;5.42;0.2752578;0.01893374
41.457810;0.2758239;5.44;0.2758239;0.01893383
41.428040;0.2763567;5.46;0.2763567;0.01893393
41.428030;0.2769228;5.48;0.2769228;0.01893401
41.331840;0.2775555;5.5;0.2775555;0.01893408
41.251680;0.2782548;5.52;0.2782548;0.01893415
41.221900;0.2790207;5.54;0.2790207;0.01893421
41.228780;0.2797533;5.56;0.2797533;0.01893426
41.201290;0.2805192;5.58;0.2805192;0.01893432
41.200150;0.2813184;5.6;0.2813184;0.01893439
